Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,cleaned_positive,cleaned_negative,sentiment,polarity_positive,polarity_negative,visit_month,visit_year
Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
Staff is extremely helpful and easy to communicate with 
Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,10.0,Olga,Norway,Budget Twin Room,1 night,2022-06-01,Solo traveler,,new comfort apart close airport clean beach staff extrem help easi commun tasti food first floor comfort restaur cozi even calm work escap heat midday,noth,positive,0.2632575757575758,0.0,6,2022
It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,10.0,Iwona,Poland,Double Room,3 nights,2022-12-01,Family,,realli pleasant stay staff nice help room clean well decor modern although big also breakfast amaz fresh handmad especi vegetarian version humu cook great staff kind help like hotel famili atmospher cozi big recommend,,positive,0.4,0.0,12,2022
Very Good,the location is great and near the airport. bus stop is very close.,,8.0,Ruijia,Sweden,Double Room,1 night,2022-12-01,Solo traveler,,locat great near airport bu stop close,,positive,0.45,0.0,12,2022
Wonderful,"Great stuff
Great Quality/price
Clean",,9.0,Theprincem,United Kingdom,Double Room with Balcony,2 nights,2022-09-01,Solo traveler,,great stuff great qualitypric clean,,positive,0.6555555555555556,0.0,9,2022
"Fantastic value for a new, modern and spotless hotel with lovely management","Clean and modern with very comfortable beds, in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.",,10.0,M,Switzerland,Family Suite with Balcony,1 night,2022-10-01,Family,,clean modern comfort bed conveni locat easi stroll numer nice restaur great beach,,positive,0.49166666666666664,0.0,10,2022
Wonderful,We only stayed over night before heading to the airport. The room was exceptionally clean with a really comfortable bed,,9.0,Kim,United Kingdom,Double Room with Balcony,1 night,2022-12-01,Couple,,stay night head airport room except clean realli comfort bed,,positive,0.3666666666666667,0.0,12,2022
lovely stop over,great,,8.0,Emma,United Kingdom,Two-Bedroom Suite,1 night,2022-10-01,Family,,great,,positive,0.8,0.0,10,2022
great place for few days to stay,"nice location, lovely personal, renovated,",nothing,10.0,Yuriy,Cyprus,Double Room,1 night,2022-11-01,Couple,,nice locat love person renov,noth,positive,0.55,0.0,11,2022
such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),maybe possibility of purchasing fresh fruit or veg,10.0,Hanna,Israel,Double Room,1 night,2022-11-01,Family,,couldnt eat breakfast due dietari restrictionsbut help host show u nearbi bu take towncntr airport way need euro taxi,mayb possibl purchas fresh fruit veg,positive,-0.125,0.3,11,2022
Great overnight stay before a flight.,Great modern room comfortable bed and quiet location.,,10.0,Nicholas,United Kingdom,Double Room,1 night,2022-12-01,Solo traveler,,great modern room comfort bed quiet locat,,positive,0.3333333333333333,0.0,12,2022
