cleaned_positive,polarity_positive,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
new comfort apart close airport clean beach staff extrem help easi commun tasti food first floor comfort restaur cozi even calm work escap heat midday,0.2632575757575758,positive,10.0,Norway,Budget Twin Room,Solo traveler,6,2022
realli pleasant stay staff nice help room clean well decor modern although big also breakfast amaz fresh handmad especi vegetarian version humu cook great staff kind help like hotel famili atmospher cozi big recommend,0.4,positive,10.0,Poland,Double Room,Family,12,2022
locat great near airport bu stop close,0.45,positive,8.0,Sweden,Double Room,Solo traveler,12,2022
great stuff great qualitypric clean,0.6555555555555556,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
clean modern comfort bed conveni locat easi stroll numer nice restaur great beach,0.49166666666666664,positive,10.0,Switzerland,Family Suite with Balcony,Family,10,2022
stay night head airport room except clean realli comfort bed,0.3666666666666667,positive,9.0,United Kingdom,Double Room with Balcony,Couple,12,2022
great,0.8,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
nice locat love person renov,0.55,positive,10.0,Cyprus,Double Room,Couple,11,2022
couldnt eat breakfast due dietari restrictionsbut help host show u nearbi bu take towncntr airport way need euro taxi,-0.125,positive,10.0,Israel,Double Room,Family,11,2022
great modern room comfort bed quiet locat,0.3333333333333333,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2022
second time true say better first excel staff amaz beyond expect maria recept great realli took time explain go get help richard chef guy like friendliest guy ever nice guy perman smile oh yeah food great reason price even clean ladi friendli nice talk room spaciou clean great stay even got upgrad alway nice owner also great like real care famili set bu stop go airport well town center minut walk away euro dont think need mention ill stay next time im larnaka brilliant guy,0.4017543859649123,positive,10.0,Thailand,Double Room with Balcony,Family,12,2022
staff except help friendli went way u breakfast love room servic clean comfort,0.43333333333333335,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
stay week enjoy much room love new clean comfort mattress tast short drive airport well locat short walk promenad coffe shop restaur staff welcom felt like stay famili would definit stay next visit larnaca thank much great time,0.267003367003367,positive,10.0,United States of America,Two-Bedroom Suite,Couple,12,2022
want hotel night close airport hotel purpos fair restaur bar next beach min walk distanc hotel,0.35,positive,8.0,Bosnia and Herzegovina,Double Room,Couple,11,2022
second visit chose realli reason close airport earli morn flight yet could stroll along nearbi beach staff make particularli recept dine room,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,12,2022
like room spaciou clean window view nice restaur downstair amaz food tasti made lot care care lot detail oliv oil galor herb absolut delici,0.48333333333333334,positive,10.0,United Kingdom,Double Room with Balcony,Group,11,2022
owner staff except friendli support help wish room balconi great view sea surround area,0.8,positive,10.0,Germany,Double Room with Balcony,Couple,11,2022
famili run hotel extrem friendli recept dine staff bright nice seat area insid meal well prepar good valu bu everi minut centr larnaka,0.6666666666666666,positive,9.0,United Kingdom,Double Room with Balcony,Couple,11,2022
close airport,0.0,positive,8.0,Finland,Double Room with Balcony,Couple,10,2022
locat clean friendli stuff,0.3666666666666667,positive,10.0,Israel,Budget Twin Room,Solo traveler,11,2022
hotel impress clean nice comfort howev bring back staff owner richard chef person buy super fresh food restaur everyth breakfast dinner absolut delici owner super kind,0.3619047619047619,positive,10.0,Netherlands,Double Room with Balcony,Solo traveler,11,2022
